"STATEICP","SEX","total","above10"
"Alabama","Female",7646,5502
"Alabama","Male",7487,5259
"Arizona","Female",28,21
"Arizona","Male",64,51
"Arkansas","Female",3065,2185
"Arkansas","Male",3154,2237
"California","Female",2075,1459
"California","Male",3456,2845
"Colorado","Female",150,107
"Colorado","Male",230,184
"Connecticut","Female",2726,2211
"Connecticut","Male",2680,2077
"Delaware","Female",855,627
"Delaware","Male",845,633
"District of Columbia","Female",1031,793
"District of Columbia","Male",925,700
"Florida","Female",1528,1042
"Florida","Male",1514,1072
"Georgia","Female",9302,6571
"Georgia","Male",8725,6053
"Idaho","Female",30,27
"Idaho","Male",127,120
"Illinois","Female",12802,9054
"Illinois","Male",13745,9888
"Indiana","Female",8599,6161
"Indiana","Male",8856,6303
"Iowa","Female",5587,3904
"Iowa","Male",6106,4342
"Kansas","Female",1710,1188
"Kansas","Male",2254,1646
"Kentucky","Female",8430,5970
"Kentucky","Male",8454,5985
"Louisiana","Female",5740,4186
"Louisiana","Male",5824,4153
"Maine","Female",2959,2372
"Maine","Male",2960,2341
"Maryland","Female",5223,3852
"Maryland","Male",4978,3685
"Massachusetts","Female",7697,6163
"Massachusetts","Male",7085,5618
"Michigan","Female",5619,4142
"Michigan","Male",6137,4527
"Minnesota","Female",2197,1482
"Minnesota","Male",2455,1745
"Mississippi","Female",6529,4553
"Mississippi","Male",6578,4530
"Missouri","Female",9191,6443
"Missouri","Male",9893,7005
"Montana","Female",26,20
"Montana","Male",142,135
"Nebraska","Female",501,347
"Nebraska","Male",652,483
"Nevada","Female",102,72
"Nevada","Male",336,302
"New Hampshire","Female",1674,1373
"New Hampshire","Male",1610,1278
"New Jersey","Female",4812,3669
"New Jersey","Male",4681,3511
"New Mexico","Female",428,283
"New Mexico","Male",417,292
"New York","Female",22375,17428
"New York","Male",21475,16468
"North Carolina","Female",7872,5651
"North Carolina","Male",7403,5234
"North Dakota","Female",5,4
"North Dakota","Male",12,10
"Ohio","Female",13546,9970
"Ohio","Male",13488,9854
"Oregon","Female",380,244
"Oregon","Male",562,392
"Pennsylvania","Female",17833,13250
"Pennsylvania","Male",17700,13039
"Rhode Island","Female",1113,907
"Rhode Island","Male",1017,820
"South Carolina","Female",5976,4274
"South Carolina","Male",5608,3893
"South Dakota","Female",55,40
"South Dakota","Male",79,66
"Tennessee","Female",8570,6153
"Tennessee","Male",8264,5727
"Texas","Female",5442,3707
"Texas","Male",5681,3996
"Utah","Female",422,271
"Utah","Male",452,317
"Vermont","Female",1652,1296
"Vermont","Male",1641,1309
"Virginia","Female",9561,6966
"Virginia","Male",9117,6482
"Washington","Female",87,59
"Washington","Male",144,113
"West Virginia","Female",2391,1686
"West Virginia","Male",2312,1615
"Wisconsin","Female",5084,3571
"Wisconsin","Male",5360,3860
"Wyoming","Female",5,5
"Wyoming","Male",61,58
