"Year","State","Area.name","Baptist","Christian","Congregational","Episcopal","Evangelical.Association","Friends","Jewish","Lutheran","Methodist","Mormon","New.Jerusalem","Presbyterian","Reformed.Late.Dutch","Reformed.Late.German","Roman.Catholic","Second.Adventist","Unitarian","United.Brethren.in.Christ","Universalist","Total","STATEICP","Total.above10.est","Unaccommodated"
1870,"Alabama","Alabama",190200,5750,650,15520,0,0,1650,0,218945,0,0,67615,0,0,6730,0,0,0,550,510810,"Alabama",675949.112535518,165139.112535518
1870,"Arizona Territory","SW Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,2400,"Arizona",7243.5,4843.5
1870,"Arkansas","Arkansas",103800,14600,0,3695,0,0,300,1025,91890,0,0,33600,0,0,5250,0,0,0,200,264225,"Arkansas",326096.736774401,61871.736774401
1870,"California","California",16775,6380,11915,13095,200,500,3610,5350,43035,550,400,21798,0,0,66640,300,1400,100,160,195558,"California",423705.152956066,228147.152956066
1870,"Colorado Territory","SW Territories",855,0,1050,2000,0,0,NA,0,3815,0,0,1200,0,0,8575,0,0,0,0,17495,"Colorado",29793.0947368421,12298.0947368421
1870,"Connecticut","Connecticut",45150,750,133175,50962,0,350,1850,1240,63975,0,NA,3875,1300,250,26418,1380,225,0,6850,338735,"Connecticut",413181.432482427,74446.432482427
1870,"Dakota Territory","NW Territories",NA,0,200,350,0,0,0,900,500,0,0,0,0,0,850,0,0,0,0,2800,"Dakota",10800.0993377483,8000.0993377483
1870,"Delaware","Delaware",2950,0,0,8975,0,3425,0,300,51924,0,300,13375,0,0,6000,0,300,0,350,87899,"Delaware",89496.0323529412,1597.0323529412
1870,"District of Columbia","District of Columbia",8775,400,1800,6680,800,160,800,3700,20860,0,480,9250,0,300,9250,0,400,0,NA,63655,"District of Columbia",97293.7116564417,33638.7116564417
1870,"Florida","Florida",21100,0,0,4600,0,0,0,0,42600,50,0,6620,0,0,3950,NA,0,0,0,78920,"Florida",123930.96120973,45010.96120973
1870,"Georgia","Georgia",389165,10285,2800,10080,0,0,1400,3000,327343,0,NA,49575,0,0,5500,0,0,0,900,801148,"Georgia",790325.594275254,0
1870,"Idaho Territory","NW Territories",175,0,0,600,0,0,0,0,0,800,0,NA,0,0,575,0,0,0,0,2150,"Idaho",13948.1146496815,11798.1146496815
1870,"Illinois","Illinois",181454,85175,66137,30395,20176,1000,3950,74301,357073,688,1855,184849,4880,7170,136900,1300,5960,17995,15225,1201403,"Illinois",1735070.75319245,533667.75319245
1870,"Indiana","Indiana",152375,122775,4800,10300,10925,29500,1900,62285,346125,0,100,128960,500,8880,86830,0,NA,33975,6300,1008380,"Indiana",1148571.68564881,140191.68564881
1870,"Iowa","Iowa",50690,15750,33925,9584,2400,17075,150,12285,142655,200,0,64890,1500,3950,57280,2950,715,10445,4465,431709,"Iowa",809662.582741811,377953.582741811
1870,"Kansas","Kansas",18540,4550,8350,3280,300,1600,300,1400,23525,NA,0,22810,0,275,14605,0,400,2200,NA,102135,"Kansas",250317.47653885,148182.47653885
1870,"Kentucky","Kentucky",288936,141585,0,15800,3000,0,1500,1650,244918,0,0,100750,0,0,72550,0,700,0,400,878039,"Kentucky",898434.57196162,20395.57196162
1870,"Louisiana","Louisiana",56140,800,4650,17100,0,0,2200,1650,52990,0,NA,14100,0,800,62525,0,1000,0,0,213955,"Louisiana",501184.131355932,287229.131355932
1870,"Maine","Maine",117189,4922,83985,8975,0,0,7315,500,82530,NA,1200,0,0,0,17822,3175,9185,0,23910,376738,"Maine",487106.282311201,110368.282311201
1870,"Maryland","Maryland",20730,1850,NA,61480,1000,7440,2750,40915,231530,0,900,32415,600,19980,62280,0,800,12100,1000,499770,"Maryland",554763.142633075,54993.142633075
1870,"Massachusetts","Massachusetts",139035,9675,269314,46245,0,7950,1500,450,117325,NA,3800,5700,0,950,130415,3400,98306,100,35627,882317,"Massachusetts",1130230.81206873,247913.81206873
1870,"Michigan","Michigan",74100,4625,38320,26750,2350,2600,1300,23150,140290,0,970,48925,8700,2800,62991,4840,1700,4225,5550,456226,"Michigan",842921.892735624,386695.892735624
1870,"Minnesota","Minnesota",12435,1550,11400,14595,3875,0,0,23325,26890,0,200,16956,500,400,42370,150,0,500,1720,158266,"Minnesota",290553.7927773,132287.7927773
1870,"Mississippi","Mississippi",174970,7325,300,8650,0,0,0,2450,208203,0,0,71100,0,0,8250,0,0,0,400,485398,"Mississippi",546073.524834058,60675.524834058
1870,"Missouri","Missouri",145360,68545,12295,20950,1800,500,2100,39550,185420,NA,1000,103350,0,1900,97550,NA,3200,5800,900,691520,"Missouri",1156309.04946552,464789.04946552
1870,"Montana Territory","NW Territories",0,NA,0,700,0,0,0,0,1450,0,0,0,0,0,1700,0,0,0,0,3850,"Montana",19001.3392857143,15151.3392857143
1870,"Nebraska","Nebraska",5400,1550,2050,3500,600,0,0,2000,10150,200,0,3125,0,0,2935,0,700,NA,NA,32210,"Nebraska",84911.039028621,52701.039028621
1870,"Nevada","Nevada",0,0,0,1100,0,0,0,0,2550,NA,0,1100,0,0,3250,0,0,0,0,8000,"Nevada",35603.1894977169,27603.1894977169
1870,"New Hampshire","New Hampshire",51925,4600,67951,7475,0,3585,0,0,36351,0,275,3170,0,0,8945,4405,7830,0,8812,210090,"New Hampshire",250355.937880633,40265.937880633
1870,"New Jersey","New Jersey",63113,3430,5050,34800,0,28750,300,6750,196860,0,NA,128200,54800,1800,45400,0,400,0,1100,573303,"New Jersey",658978.909090909,85675.9090909089
1870,"New Mexico Territory","SW Territories",300,0,0,0,0,0,0,0,300,0,0,250,0,0,80710,0,0,0,0,81560,"New Mexico",60669.4579881657,0
1870,"New York","New York",333086,28175,111785,204290,7300,24910,21400,70133,606098,0,1950,349870,147033,3450,271285,3120,8850,1850,41610,2282876,"New York",3281522.08638541,998646.08638541
