State,TOTAL POPULATION,MALE CITIZENS 21 YEARS AGE AND OVER,MALES 21 YEARS AGE AND OVER,MALES 18-45 YEARS AGE,FEMALES 5-18 YEARS AGE,MALES 5-18 YEARS AGE,TOTAL FEMALES,TOTAL MALES,WHITE MALES 15-20 WHO CANNOT WRITE,WHITE FEMALES 15-20 WHO CANNOT WRITE,WHITE MALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 21 AND OVER WHO CANNOT WRITE,COLORED MALES 10-14 WHO CANNOT WRITE,COLORED FEMALES 10-14 WHO CANNOT WRITE,COLORED MALES 15-20 WHO CANNOT WRITE,COLORED FEMALES 15-20 WHO CANNOT WRITE,COLORED MALES 21 AND OVER WHO CANNOT WRITE,COLORED FEMALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 10-14 WHO CANNOT WRITE,WHITE MALES 10-14 WHO CANNOT WRITE,FOREIGN-BORN PERSONS WHO CANNOT WRITE,TOTAL PERSONS ATTENDING SCHOOL,NATIVE-BORN PERSONS ATTENDING SCHOOL,FOREIGN-BORN PERSONS ATTENDING SCHOOL,WHITE MALES ATTENDING SCHOOL,WHITE FEMALES ATTENDING SCHOOL,COLORED MALES ATTENDING SCHOOL,COLORED FEMALES ATTENDING SCHOOL,PERSONS 10 AND OVER WHO CANNOT READ,TOTAL PERSONS WHO CANNOT WRITE,NATIVE-BORN PERSONS WHO CANNOT WRITE,MANUFACTURING ESTABLISHMENTS,TOTAL HANDS EMPLOYED IN MANUFACTURING,MALES ABOVE AGE 16 EMPLOYED IN MANUFACTURING,FEMALES ABOVE AGE 16 EMPLOYED IN MANUFACTURING,YOUTHS EMPLOYED IN MANUFACTURING,TOTAL CAPITAL INVESTED (IN DOLLARS) IN MANUFACTURING,TOTAL WAGES PAID IN MANUFACTURING
ALABAMA,996992,202046,203315,168986,169703,173273,508254,488738,9642,9757,17429,31001,24391,22615,25616,28915,91017,98344,11016,13214,870,77139,77091,48,31098,30226,7502,8313,349771,383012,382142,2188,8248,7196,664,388,5714032,2227968
ARKANSAS,484471,100403,104083,94873,80847,84645,236210,248261,6703,7213,13610,21770,5352,4982,5863,6655,23681,22689,6814,7985,296,62572,62546,26,30138,26650,2930,2854,111799,133339,133043,1070,3206,3077,47,82,1782913,673963
CALIFORNIA,560247,145802,227256,194935,66043,71086,210768,349479,1179,839,12362,9837,24,21,30,34,468,339,849,1092,22196,91176,87598,3578,46539,44091,203,170,24877,31716,9520,3984,25392,24040,873,479,39728202,13136722
COLORADO (territory),39864,15515,16294,15166,4352,4605,15044,24820,498,717,2305,2074,4,4,13,14,63,48,487,483,255,2617,2482,135,1376,1221,12,7,6297,6823,6568,256,876,874,2,0,2835605,528221
CONNECTICUT,537454,127499,150415,109881,69155,69807,272184,265270,1266,1444,8990,13683,69,62,83,130,627,704,1191,1339,23938,99663,95381,4282,50696,47792,580,564,19680,29616,5678,5128,89523,61684,20810,7029,95281278,38987187
DELAWARE,125015,28207,30035,24018,19622,20185,62387,62628,718,652,3466,4566,925,860,1054,1011,3765,4205,833,1045,2469,19965,19760,205,9862,8908,663,532,19356,23100,20631,800,9710,7705,1199,806,10839093,3692195
FLORIDA,187748,38854,39907,34539,31024,32873,93200,94548,2146,2199,3876,5600,4190,3513,4957,5376,16809,18052,2392,2691,568,12778,12757,21,4195,4059,2241,2283,66238,71803,71235,659,2749,2670,20,59,1679930,989592
GEORGIA,1184109,234919,237640,202573,201490,206026,605154,578955,13101,12911,21899,40531,33364,31253,31295,34813,100551,112361,16654,19843,1090,77493,77350,143,33796,33346,4898,5453,418553,468593,467503,3836,17871,15078,1498,1295,13930125,4844508
ILLINOIS,2539891,542833,625139,525873,404219,414547,1223354,1316537,7208,6893,40801,56857,335,325,620,619,3969,4082,5303,6562,42989,548225,522939,25286,284084,261813,1169,1155,86368,133584,90595,12597,82979,73045,6717,3217,94368057,31100244
INDIANA,1680637,376780,388231,319658,279818,287357,822643,857994,7325,7093,36331,57651,347,348,550,650,3182,3181,4779,5582,13939,395263,391524,3739,206363,185777,1620,1469,76634,127124,113185,11847,58852,54412,2272,2168,52052425,18366780
