"Area.name","Total.Population","State","Territory","total","above10","Total.Above10.Est","above10.Female","above10.Male","Total.Above10.Female","Total.Above10.Male","Employed.Female","Employed.Male","Occupation","Sex","Number"
"Alabama",996992,"Alabama",NA,15133,10260,675949.112535518,5272,4988,347329.797396418,328619.3151391,128157,314240,"Agriculture","Male",226768
"Arizona",9658,"Arizona Territory",TRUE,92,69,7243.5,18,51,1889.60869565217,5353.89130434783,366,5813,"Agriculture","Male",1284
"Arkansas",484471,"Arkansas",NA,6219,4186,326096.736774401,2061,2125,160555.512301013,165541.224473388,45300,153221,"Agriculture","Male",100669
"California",560247,"California",NA,5531,4183,423705.152956066,1405,2778,142315.500813596,281389.65214247,58041,271610,"Agriculture","Male",47580
"Colorado",39864,"Colorado Territory",TRUE,380,284,29793.0947368421,104,180,10910.1473684211,18882.9473684211,1664,18535,"Agriculture","Male",6462
"Connecticut",537454,"Connecticut",NA,5406,4156,413181.432482427,2146,2010,213351.143914169,199830.288568257,82317,210736,"Agriculture","Male",43523
"Dakota",14181,"Dakota Territory",TRUE,151,115,10800.0993377483,40,75,3756.55629139073,7043.54304635762,682,6333,"Agriculture","Male",2522
"Delaware",125015,"Delaware",NA,1700,1217,89496.0323529412,606,611,44564.1705882353,44931.8617647059,15447,44831,"Agriculture","Male",15907
"District of Columbia",131700,"District of Columbia",NA,1956,1445,97293.7116564417,766,679,51575.7668711657,45717.9447852761,23778,45204,"Agriculture","Male",1350
"Florida",187748,"Florida",NA,3042,2008,123930.96120973,989,1019,61039.701512163,62891.2596975674,16168,57313,"Agriculture","Male",36944
"Georgia",1184109,"Georgia",NA,18027,12032,790325.594275254,6301,5731,413883.109169579,376442.485105675,154292,367879,"Agriculture","Male",262152
"Idaho",14999,"Idaho Territory",TRUE,157,146,13948.1146496815,27,119,2579.44585987261,11368.6687898089,347,10998,"Agriculture","Male",1462
"Illinois",2539891,"Illinois",NA,26547,18135,1735070.75319245,8682,9453,830652.56571364,904418.187478811,326251,963985,"Agriculture","Male",375407
"Indiana",1680637,"Indiana",NA,17455,11929,1148571.68564881,5894,6035,567497.821712976,581073.863935835,218356,636242,"Agriculture","Male",266349
"Iowa",1194020,"Iowa",NA,11693,7929,809662.582741811,3756,4173,383540.504575387,426122.078166424,168862,481765,"Agriculture","Male",209907
"Kansas",364399,"Kansas",NA,3964,2723,250317.47653885,1143,1580,105072.668264379,145244.80827447,36848,149922,"Agriculture","Male",72918
"Kentucky",1321011,"Kentucky",NA,16884,11483,898434.57196162,5740,5743,449099.925373134,449334.646588486,136753,459045,"Agriculture","Male",257426
"Louisiana",726915,"Louisiana",NA,11564,7973,501184.131355932,4013,3960,252257.860169492,248926.271186441,83534,224177,"Agriculture","Male",114530
"Maine",626915,"Maine",NA,5919,4599,487106.282311201,2313,2286,244983.003041054,242123.279270147,102832,260523,"Agriculture","Male",81956
"Maryland",780894,"Maryland",NA,10201,7247,554763.142633075,3718,3529,284615.61533183,270147.527301245,94811,269167,"Agriculture","Male",79197
"Massachusetts",1457351,"Massachusetts",NA,14782,11464,1130230.81206873,6015,5449,593016.253889866,537214.558178866,270963,596263,"Agriculture","Male",72756
"Michigan",1184059,"Michigan",NA,11756,8369,842921.892735624,3994,4375,402273.872575706,440648.020159918,183915,484093,"Agriculture","Male",187036
"Minnesota",439706,"Minnesota",NA,4652,3074,290553.7927773,1406,1668,132894.805674979,157658.987102322,57428,171990,"Agriculture","Male",74663
"Mississippi",827922,"Mississippi",NA,13107,8645,546073.524834058,4369,4276,275974,270099.524834058,105735,252256,"Agriculture","Male",193725
"Missouri",1721295,"Missouri",NA,19084,12820,1156309.04946552,6158,6662,555425.204883672,600883.844581849,192702,637194,"Agriculture","Male",262595
"Montana",20595,"Montana Territory",TRUE,168,155,19001.3392857143,20,135,2451.78571428571,16549.5535714286,591,14376,"Agriculture","Male",2110
"Nebraska",122993,"Nebraska",NA,1153,796,84911.039028621,331,465,35308.4848222029,49602.554206418,10375,51410,"Agriculture","Male",23083
"Nevada",42491,"Nevada",NA,438,367,35603.1894977169,69,298,6693.78767123288,28909.401826484,1878,27925,"Agriculture","Male",2063
"New Hampshire",318300,"New Hampshire",NA,3284,2583,250355.937880633,1340,1243,129878.806333739,120477.131546894,55581,130411,"Agriculture","Male",46562
"New Jersey",906096,"New Jersey",NA,9493,6904,658978.909090909,3531,3373,337029.914252607,321948.994838302,121392,332729,"Agriculture","Male",62943
"New Mexico",91874,"New Mexico Territory",TRUE,845,558,60669.4579881657,271,287,29464.9159763314,31204.5420118343,3863,27378,"Agriculture","Male",18432
"New York",4382759,"New York",NA,43850,32832,3281522.0863854,16901,15931,1689236.25676169,1592285.82962372,670218,1667545,"Agriculture","Male",373455
"North Carolina",1071361,"North Carolina",NA,15275,10391,728806.032798691,5419,4972,380078.904026187,348727.128772504,90299,326287,"Agriculture","Male",241010
"Ohio",2665260,"Ohio",NA,27034,19040,1877138.0631797,9594,9446,945864.631205149,931273.431974551,394680,1091833,"Agriculture","Male",396267
"Oregon",90923,"Oregon",NA,942,611,58974.4723991507,229,382,22103.3619957537,36871.110403397,9166,39562,"Agriculture","Male",13232
"Pennsylvania",3521951,"Pennsylvania",NA,35533,25348,2512436.71933133,12787,12561,1267418.66538148,1245018.05394985,485637,1259906,"Agriculture","Male",258772
"Rhode Island",217353,"Rhode Island",NA,2130,1683,171739.483098592,885,798,90308.6408450704,81430.8422535211,38673,84811,"Agriculture","Male",11767
"South Carolina",705606,"South Carolina",NA,11584,7804,475358.185773481,4102,3702,249861.51691989,225496.668853591,101441,203425,"Agriculture","Male",147708
"Tennessee",1258520,"Tennessee",NA,16834,11338,847635.722941666,5876,5462,439293.306403707,408342.416537959,102645,386047,"Agriculture","Male",247953
"Texas",818579,"Texas",NA,11123,7325,539071.399352693,3543,3782,260741.292546975,278330.106805718,60153,242172,"Agriculture","Male",152722
