Area name,Agriculture,Manufacturing,Trade,Services,School,Ag.Male,Ag.Female,Mfctr.Male,Mfctr.Female,Trade.Male,Trade.Female,Srv.Male,Srv.Female,School.Male,School.Female
Alabama,291628,17070,14435,42125,77139,226768,64860,15078,1992,14345,90,19449,22676,38600,38539
Arizona Territory,1285,1039,591,3115,149,1284,1,883,156,588,3,2979,136,79,70
Arkansas,109310,6271,5491,14877,62572,100669,8641,5992,279,5474,17,8018,6859,33068,29504
California,47863,81508,33165,76112,91176,47580,283,79100,2408,33038,127,65150,10962,46742,44261
Colorado Territory,6462,4681,2815,3625,2617,6462,0,4627,54,2813,2,3245,380,1388,1228
Connecticut,43653,86344,24720,38704,99663,43523,130,70276,16068,24511,209,21150,17554,51276,48356
Dakota Territory,2522,457,204,2704,1144,2522,0,439,18,204,0,2562,142,606,522
Delaware,15973,9514,3437,11389,19965,15907,66,8437,1077,3347,90,6615,4774,10525,9440
District of Columbia,1365,11705,6126,29845,19941,1350,15,10071,1634,5852,274,17927,11918,10004,9937
Florida,42492,4291,3023,10897,12778,36944,5548,4025,266,3016,7,6892,4005,6436,6342
Georgia,336145,27040,17410,64083,77493,262152,73993,22262,4778,17336,74,27435,36648,38694,38799
Idaho Territory,1462,7273,721,1423,466,1462,0,7262,11,720,1,1310,113,244,222
Illinois,376441,133221,80422,151931,548225,375407,1034,124112,9109,79876,546,99337,52594,285253,262968
Indiana,266777,76057,36517,80018,395263,266349,428,72073,3984,36371,146,53466,26552,207983,187246
Iowa,210263,47319,28210,58484,306353,209907,356,44561,2758,28151,59,38531,19953,160615,145736
Kansas,73228,18126,11762,20736,63183,72918,310,17403,723,11736,26,15286,5450,32579,30339
Kentucky,261080,44197,25292,84024,181225,257426,3654,39939,4258,24961,331,41974,42050,94745,86460
Louisianna,141467,25807,23831,65347,51259,114530,26937,23259,2548,23496,335,36883,28464,26009,25250
Maine,82011,62007,28115,36092,155140,81956,55,49265,12742,27880,235,20683,15409,80739,74391
Maryland,80449,63326,35542,79226,105435,79197,1252,56649,6677,34567,975,43278,35948,55476,49959
Massachusetts,72810,292665,83078,131291,287405,72756,54,221793,70872,81077,2001,75917,55374,144720,142662
Michigan,187211,82637,29588,104728,264217,187036,175,77434,5203,29493,95,52754,51974,137376,126468
Minnesota,75157,18588,10582,28330,96793,74663,494,17655,933,10559,23,18920,9410,50193,46568
Mississippi,259199,9981,9148,40522,39141,193725,65474,9118,863,9076,72,20430,20092,19907,19234
Missouri,263918,79850,54885,106903,324348,262595,1323,74588,5262,54583,302,75079,31824,170349,153991
Montana Territory,2111,8030,1233,2674,919,2110,1,8020,10,1232,1,2515,159,499,420
Nebraska,23115,5763,4628,10331,17956,23083,32,5570,193,4623,5,8667,1664,9467,8481
Nevada,2070,13789,3621,7431,2893,2063,7,13632,157,3621,0,7152,279,1457,1435
New Hampshire,46573,46553,8514,18528,65824,46562,11,32524,14029,8126,388,8821,9707,34378,31446
New Jersey,63128,103322,46206,83380,158099,62943,185,89165,14157,45242,964,54275,29105,81104,76981
New Mexico Territory,18668,2295,863,7535,1889,18432,236,1444,851,863,0,5542,1993,1097,783
New York,374323,476775,234581,405339,846796,373455,868,397166,79609,229789,4792,233569,171770,433566,413179
North Carolina,269238,20592,10179,51290,65301,241010,28228,18262,2330,10094,85,23073,28217,33848,31439
Ohio,397024,197010,78547,168308,645639,396267,757,179394,17616,77690,857,104018,64290,334464,311160
Oregon,13248,8694,2619,6090,18096,13232,16,8603,91,2611,8,5522,568,9594,8483
Pennsylvania,260051,356240,121253,283000,725004,258772,1279,318049,38191,116714,4539,192674,90326,373697,351302
Rhode Island,11780,47007,10108,19679,34948,11767,13,32865,14142,9878,230,12349,7330,17952,16958
South Carolina,206654,13794,8470,34383,41569,147708,58946,10871,2923,8250,220,15526,18857,21070,20495
Tennessee,267020,29061,17510,54396,120710,247953,19067,27138,1923,17417,93,30077,24319,63462,57243
Texas,166753,15879,13612,40882,65205,152722,14031,15063,816,13576,36,27168,13714,33643,31556
Utah Territory,10428,4107,1665,5317,14632,10417,11,3993,114,1648,17,4384,933,7622,7003
Vermont,57983,22616,7132,21032,70199,57889,94,20593,2023,7101,31,9680,11352,36813,33386
Virginia,244550,49413,20181,98521,70871,228082,16468,43983,5430,19992,189,45407,53114,36888,33952
Washington Territory,3771,2653,1129,2207,3537,3759,12,2638,15,1127,2,2000,207,1878,1654
West Virginia,73960,17673,6897,16699,82193,73725,235,16827,846,6888,9,9636,7063,43912,38281
Wisconsin,159687,53517,21534,58070,260732,158300,1387,49733,3784,21342,192,37898,20172,135195,125407
Wyoming Territory,165,1664,1646,3170,364,164,1,1637,27,1646,0,2898,272,179,185
