"State","Occupation","Pixels","State.Pixels","PixPercent","Number","CensusPercent"
"Alabama","Agriculture",283,617.137472283814,45.8568816041447,291628,41.1348527151197
"Alabama","Manufacturing",20,617.137472283814,3.24076901796076,17070,2.40776583814686
"Alabama","Trade",11,617.137472283814,1.78242295987842,14435,2.03609255264499
"Alabama","Service",42,617.137472283814,6.80561493771759,42125,5.94183573122065
"Alabama","School",71,617.137472283814,11.5047300137607,77139,10.8806472752672
"Alabama","Unaccounted",190.137472283814,617.137472283814,30.8095814665378,266558.984404943,37.5988058876007
"Arkansas","Agriculture",226,634.186252771619,35.6362186995224,109310,31.7317429249518
"Arkansas","Manufacturing",17,634.186252771619,2.68060052164549,6271,1.8204167951914
"Arkansas","Trade",10,634.186252771619,1.57682383626205,5491,1.59398957461266
"Arkansas","Service",33,634.186252771619,5.20351865966478,14877,4.31866379557687
"Arkansas","School",120,634.186252771619,18.9218860351446,62572,18.1641077513501
"Arkansas","Unaccounted",228.186252771619,634.186252771619,35.9809522477606,145960.550410034,42.3710791583172
"California","Agriculture",75,602.135254988914,12.4556732691862,47863,10.9787216015045
"California","Manufacturing",118,602.135254988914,19.5969259435196,81508,18.696146089786
"California","Trade",47,602.135254988914,7.80555524868999,33165,7.60732302433812
"California","Service",110,602.135254988914,18.2683207948064,76112,17.4584221326224
"California","School",123,602.135254988914,20.4273041614653,91003,20.874090673416
"California","Unaccounted",129.135254988914,602.135254988914,21.4462205823326,106310.505695173,24.385296478333
"Connecticut","Agriculture",70,609.232815964523,11.4898603892795,43653,10.1389081885133
"Connecticut","Manufacturing",133,609.232815964523,21.8307347396311,86344,20.0543808817033
"Connecticut","Trade",40,609.232815964523,6.56563450815973,24720,5.74150254094906
"Connecticut","Service",55,609.232815964523,9.02774744871963,38704,8.98944637317526
"Connecticut","School",146,609.232815964523,23.964565954783,99632,23.1406707588931
"Connecticut","Unaccounted",165.232815964523,609.232815964523,27.121456959427,137496.317425083,31.935091256766
"Delaware","Agriculture",118,617.017738359202,19.1242475968017,15973,17.2386297771252
"Delaware","Manufacturing",68,617.017738359202,11.0207528523942,9514,10.2678472234126
"Delaware","Trade",24,617.017738359202,3.88967747731561,3437,3.70933265785883
"Delaware","Service",83,617.017738359202,13.4518012757165,11389,12.2914139192186
"Delaware","School",140,617.017738359202,22.689785284341,19965,21.5469381769426
"Delaware","Unaccounted",184.017738359202,617.017738359202,29.823735513431,32380.1764705882,34.9458382454423
"District of Columbia","Agriculture",19,608.60088691796,3.12191460913221,1365,1.35786288938356
"District of Columbia","Manufacturing",71,608.60088691796,11.6661019604414,11705,11.6437986228825
"District of Columbia","Trade",42,608.60088691796,6.90107439913436,6126,6.09396927499172
"District of Columbia","Service",192,608.60088691796,31.5477686817571,29845,29.6889508671446
"District of Columbia","School",129,608.60088691796,21.1961570830555,19941,19.8367354411704
"District of Columbia","Unaccounted",155.60088691796,608.60088691796,25.5669832664794,31543.6134969325,31.3786829044272
"Florida","Agriculture",233,634.988913525499,36.6935540191354,42492,32.5676243618809
"Florida","Manufacturing",24,634.988913525499,3.77959354703541,4291,3.28879968315991
"Florida","Trade",19,634.988913525499,2.99217822473636,3023,2.31695209559366
"Florida","Service",58,634.988913525499,9.1340177386689,10897,8.35191101081183
"Florida","School",70,634.988913525499,11.0238145121866,12778,9.79358712454378
"Florida","Unaccounted",230.988913525499,634.988913525499,36.3768419582373,56992.1334648258,43.6811257240099
"Georgia","Agriculture",282,620.137472283814,45.4737880878998,336145,40.5379186226263
"Georgia","Manufacturing",22,620.137472283814,3.54760048912694,27040,3.26093001399936
"Georgia","Trade",14,620.137472283814,2.25756394762623,17410,2.09958548608465
"Georgia","Service",51,620.137472283814,8.22398295206699,64083,7.72818705943495
"Georgia","School",61,620.137472283814,9.83652862894287,77493,9.34538644877413
"Georgia","Unaccounted",190.137472283814,620.137472283814,30.6605358943371,307040.295057414,37.0279923690806
"Illinois","Agriculture",135,608.60088691796,22.1820248543604,376441,20.5679753314618
"Illinois","Manufacturing",47,608.60088691796,7.72263087522178,133221,7.27892615743946
"Illinois","Trade",29,608.60088691796,4.76502756130706,80422,4.39409552122861
"Illinois","Service",54,608.60088691796,8.87280994174418,151931,8.3012027385017
"Illinois","School",188,608.60088691796,30.8905235008871,548221,29.9536873087398
"Illinois","Unaccounted",155.60088691796,608.60088691796,25.5669832664794,539992.760650921,29.5041129426287
"Indiana","Agriculture",146,607.809312638581,24.0206915169158,266777,21.6989312877615
"Indiana","Manufacturing",43,607.809312638581,7.0745872275848,76057,6.18627399271031
"Indiana","Trade",21,607.809312638581,3.45503097161118,36517,2.97019560844896
"Indiana","Service",45,607.809312638581,7.40363779630967,80018,6.50845119250948
"Indiana","School",207,607.809312638581,34.0567338630245,395229,32.1468751576437
"Indiana","Unaccounted",145.809312638581,607.809312638581,23.989318624554,374849.646347751,30.489272760926
"Iowa","Agriculture",155,593.917960088692,26.0978805855363,210263,23.8821681347812
"Iowa","Manufacturing",35,593.917960088692,5.89306980963723,47319,5.37460377703025
"Iowa","Trade",23,593.917960088692,3.87258873204732,28210,3.2041584257914
"Iowa","Service",46,593.917960088692,7.74517746409465,58484,6.64275084629508
"Iowa","School",216,593.917960088692,36.3686593966183,306351,34.7960701134215
"Iowa","Unaccounted",118.917960088692,593.917960088692,20.0226240120661,229791.389207218,26.1002487026806
"Kansas","Agriculture",184,595.505543237251,30.8981170854851,73228,28.1082492685053
"Kansas","Manufacturing",43,595.505543237251,7.22075562323837,18126,6.95758625445086
"Kansas","Trade",32,595.505543237251,5.37358558008437,11762,4.51479253695526
"Kansas","Service",50,595.505543237251,8.39622746888183,20736,7.95942340131816
"Kansas","School",154,595.505543237251,25.860380604156,62918,24.1508006155544
"Kansas","Unaccounted",132.505543237251,595.505543237251,22.2509336381542,73751.3839556004,28.309147923216
"Kentucky","Agriculture",193,614.827050997783,31.3909415154695,261080,27.9121270380717
