State,TOTAL POPULATION,MALE CITIZENS 21 YEARS AGE AND OVER,MALES 21 YEARS AGE AND OVER,MALES 18-45 YEARS AGE,FEMALES 5-18 YEARS AGE,MALES 5-18 YEARS AGE,TOTAL FEMALES,TOTAL MALES,WHITE MALES 15-20 WHO CANNOT WRITE,WHITE FEMALES 15-20 WHO CANNOT WRITE,WHITE MALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 21 AND OVER WHO CANNOT WRITE,COLORED MALES 10-14 WHO CANNOT WRITE,COLORED FEMALES 10-14 WHO CANNOT WRITE,COLORED MALES 15-20 WHO CANNOT WRITE,COLORED FEMALES 15-20 WHO CANNOT WRITE,COLORED MALES 21 AND OVER WHO CANNOT WRITE,COLORED FEMALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 10-14 WHO CANNOT WRITE,WHITE MALES 10-14 WHO CANNOT WRITE,FOREIGN-BORN PERSONS WHO CANNOT WRITE,TOTAL PERSONS ATTENDING SCHOOL,NATIVE-BORN PERSONS ATTENDING SCHOOL,FOREIGN-BORN PERSONS ATTENDING SCHOOL,WHITE MALES ATTENDING SCHOOL,WHITE FEMALES ATTENDING SCHOOL,COLORED MALES ATTENDING SCHOOL,COLORED FEMALES ATTENDING SCHOOL,PERSONS 10 AND OVER WHO CANNOT READ,TOTAL PERSONS WHO CANNOT WRITE,NATIVE-BORN PERSONS WHO CANNOT WRITE
ALABAMA,"996,992","202,046","203,315","168,986","169,703","173,273","508,254","488,738","9,642","9,757","17,429","31,001","24,391","22,615","25,616","28,915","91,017","98,344","11,016","13,214",870,"77,139","77,091",48,"31,098","30,226","7,502","8,313","349,771","383,012","382,142"
ARKANSAS,"484,471","100,403","104,083","94,873","80,847","84,645","236,210","248,261","6,703","7,213","13,610","21,770","5,352","4,982","5,863","6,655","23,681","22,689","6,814","7,985",296,"62,572","62,546",26,"30,138","26,650","2,930","2,854","111,799","133,339","133,043"
CALIFORNIA,"560,247","145,802","227,256","194,935","66,043","71,086","210,768","349,479","1,179",839,"12,362","9,837",24,21,30,34,468,339,849,"1,092","22,196","91,176","87,598","3,578","46,539","44,091",203,170,"24,877","31,716","9,520"
COLORADO (territory),"39,864","15,515","16,294","15,166","4,352","4,605","15,044","24,820",498,717,"2,305","2,074",4,4,13,14,63,48,487,483,255,"2,617","2,482",135,"1,376","1,221",12,7,"6,297","6,823","6,568"
CONNECTICUT,"537,454","127,499","150,415","109,881","69,155","69,807","272,184","265,270","1,266","1,444","8,990","13,683",69,62,83,130,627,704,"1,191","1,339","23,938","99,663","95,381","4,282","50,696","47,792",580,564,"19,680","29,616","5,678"
DELAWARE,"125,015","28,207","30,035","24,018","19,622","20,185","62,387","62,628",718,652,"3,466","4,566",925,860,"1,054","1,011","3,765","4,205",833,"1,045","2,469","19,965","19,760",205,"9,862","8,908",663,532,"19,356","23,100","20,631"
FLORIDA,"187,748","38,854","39,907","34,539","31,024","32,873","93,200","94,548","2,146","2,199","3,876","5,600","4,190","3,513","4,957","5,376","16,809","18,052","2,392","2,691",568,"12,778","12,757",21,"4,195","4,059","2,241","2,283","66,238","71,803","71,235"
GEORGIA,"1,184,109","234,919","237,640","202,573","201,490","206,026","605,154","578,955","13,101","12,911","21,899","40,531","33,364","31,253","31,295","34,813","100,551","112,361","16,654","19,843","1,090","77,493","77,350",143,"33,796","33,346","4,898","5,453","418,553","468,593","467,503"
ILLINOIS,"2,539,891","542,833","625,139","525,873","404,219","414,547","1,223,354","1,316,537","7,208","6,893","40,801","56,857",335,325,620,619,"3,969","4,082","5,303","6,562","42,989","548,225","522,939","25,286","284,084","261,813","1,169","1,155","86,368","133,584","90,595"
INDIANA,"1,680,637","376,780","388,231","319,658","279,818","287,357","822,643","857,994","7,325","7,093","36,331","57,651",347,348,550,650,"3,182","3,181","4,779","5,582","13,939","395,263","391,524","3,739","206,363","185,777","1,620","1,469","76,634","127,124","113,185"
IOWA,"1,194,020","255,802","290,717","240,769","193,165","201,531","568,103","625,917","2,044","1,636","14,782","19,825",32,38,71,75,635,673,"2,457","3,401","20,692","306,353","293,353","13,000","160,269","145,421",346,315,"24,115","45,671","24,979"
KANSAS,"364,399","99,069","105,671","95,002","53,041","55,669","162,175","202,224","1,311",908,"5,994","6,175",342,314,449,497,"2,772","2,839","1,099","1,491","4,101","63,183","61,431","1,752","31,568","29,223","1,011","1,116","16,369","24,550","20,449"
KENTUCKY,"1,321,011","282,305","289,471","239,483","224,048","230,491","655,336","665,675","18,724","18,036","43,826","62,725","12,891","12,067","12,157","12,769","37,889","43,277","26,014","31,752","7,231","181,225","180,063","1,162","91,225","82,278","3,520","4,182","249,567","332,176","324,945"
LOUISIANA,"726,915","159,001","174,187","136,753","113,594","112,520","364,750","362,165","4,710","4,926","12,048","15,540","16,978","16,375","15,873","19,718","76,612","79,437","6,395","7,130","7,385","51,259","50,688",571,"20,542","19,641","5,467","5,609","257,184","276,158","268,773"
MAINE,"626,915","153,160","169,821","118,940","86,355","89,233","313,812","313,103","1,247","1,186","6,516","6,775",13,3,17,14,69,57,"1,368","1,782","11,066","155,140","152,106","3,034","80,630","74,314",109,77,"13,486","19,052","7,986"
