State,Total.Population
Alabama,77139
Arizona,149
Arkansas,62572
California,91176
Colorado,2617
Connecticut,99663
Dakota,1144
Delaware,19965
District of Columbia,19941
Florida,12778
Georgia,77493
Idaho,466
Illinois,548225
Indiana,395263
Iowa,306353
Kansas,63183
Kentucky,181225
Louisiana,51259
Maine,155140
Maryland,105435
Massachusetts,287405
Michigan,264217
Minnesota,96793
Mississippi,39141
Missouri,324348
Montana,919
Nebraska,17956
Nevada,2893
New Hampshire,65824
New Jersey,158099
New Mexico,1889
New York,846796
North Carolina,65301
Ohio,645639
Oregon,18096
Pennsylvania,725004
Rhode Island,34948
South Carolina,41569
Tennessee,120710
Texas,65205
Utah,14632
Vermont,70199
Virginia,70871
Washington,3537
West Virginia,82193
Wisconsin,260732
Wyoming,364
